stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
724500,03928,2015,03,27,44.9,24,30.9,24,1021.2,23,972.6,24,10.0,24,9.0,24,19.0,26.0,57.9,,35.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,28,51.5,24,33.4,24,1017.1,24,968.7,24,10.0,24,7.1,24,14.0,15.9,73.0,,37.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,29,59.5,24,39.3,24,1014.8,24,967.0,24,9.7,24,12.5,24,19.0,26.0,75.9,,37.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,30,57.2,24,32.9,24,1020.4,24,972.4,24,10.0,24,7.9,24,17.1,26.0,77.0,,32.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,31,64.4,24,37.3,24,1013.3,24,965.9,24,10.0,24,8.0,24,13.0,15.0,82.9,*,45.0,*,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,01,69.3,24,46.6,24,1008.3,24,961.4,24,9.2,24,12.2,24,22.9,32.1,87.1,,44.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,02,70.0,24,53.8,24,1004.6,23,958.1,24,10.0,24,14.5,24,28.9,40.0,87.1,,52.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,03,55.2,24,36.9,24,1016.7,24,968.8,24,10.0,24,17.5,24,42.0,59.1,78.1,,44.1,,0.04,G,999.9,0,1,0,1,1,0
724500,03928,2015,04,04,45.8,24,21.4,24,1028.2,24,979.2,24,10.0,24,8.6,24,19.0,24.1,64.9,,25.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,05,52.9,24,31.1,24,1015.5,24,967.5,24,10.0,24,14.4,24,25.1,31.1,61.0,*,44.1,*,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,06,60.2,24,52.9,24,1007.1,17,960.3,24,6.7,24,15.7,24,22.0,27.0,86.0,,44.1,,0.02,G,999.9,0,1,0,0,0,0
724500,03928,2015,04,07,72.4,24,57.8,24,1006.0,23,959.4,24,10.0,24,11.0,24,22.0,27.0,86.0,,52.0,,0.0,I,999.9,0,0,0,0,0,0
724500,03928,2015,04,08,66.3,24,54.6,24,1006.7,20,960.5,24,8.2,24,9.4,24,20.0,25.1,84.9,,57.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,09,64.9,24,51.9,24,1005.4,18,958.1,24,9.9,24,17.9,24,28.0,35.0,77.0,*,51.8,*,0.02,G,999.9,0,1,0,0,1,0
724500,03928,2015,04,10,51.1,24,28.9,24,1021.4,24,973.0,24,10.0,24,7.3,24,27.0,28.9,72.0,,34.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,11,59.0,24,37.5,24,1019.0,24,971.1,24,8.4,24,10.3,24,21.0,27.0,69.1,*,50.0,*,0.03,G,999.9,0,1,0,0,0,0
724500,03928,2015,04,12,61.8,24,51.4,24,1010.7,23,963.6,24,9.2,24,11.1,24,21.0,28.0,79.0,,50.0,,0.25,G,999.9,0,1,0,0,1,0
724500,03928,2015,04,13,62.6,24,43.8,24,1017.0,22,968.5,24,9.4,24,14.7,24,22.9,32.1,79.0,,52.0,,1.08,G,999.9,0,1,0,0,1,0
724500,03928,2015,04,14,59.4,24,31.5,24,1022.0,24,974.0,24,10.0,24,7.9,24,14.0,999.9,69.1,,52.0,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2015,04,15,58.9,24,45.9,24,1014.6,24,966.9,24,10.0,24,8.6,24,13.0,999.9,69.1,,52.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,16,63.7,24,54.3,24,1013.7,24,966.1,24,10.0,24,10.8,24,15.9,17.1,80.1,,51.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,17,66.0,24,56.8,24,1014.4,22,967.5,24,9.1,24,7.6,24,15.0,999.9,80.1,,51.1,,0.14,G,999.9,0,1,0,0,1,0
724500,03928,2015,04,18,65.6,24,57.7,24,1011.6,24,964.4,24,9.9,24,6.0,24,18.1,22.9,75.0,,57.9,,0.26,G,999.9,0,1,0,0,1,0
724500,03928,2015,04,19,56.2,24,49.8,24,1007.6,17,960.3,24,9.0,24,10.6,24,33.0,42.9,75.0,,50.0,,0.75,G,999.9,0,1,1,1,1,0
724500,03928,2015,04,20,50.9,24,33.1,24,1013.2,24,965.2,24,10.0,24,11.8,24,18.1,22.9,66.9,,39.9,,0.01,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,21,57.8,24,38.9,24,1011.8,24,964.1,24,10.0,24,8.5,24,17.1,22.9,75.9,,39.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,22,56.6,24,36.5,24,1014.0,24,966.2,24,10.0,24,9.5,24,19.0,21.0,75.9,,41.0,,0.01,G,999.9,0,1,0,0,0,0
724500,03928,2015,04,23,56.2,24,33.9,24,1015.0,22,967.5,24,10.0,24,9.9,24,15.0,999.9,64.9,,46.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,24,63.4,24,54.4,24,1006.7,21,959.6,24,8.6,24,14.4,24,25.1,32.1,79.0,,51.1,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2015,04,25,66.1,24,54.9,24,998.8,24,952.2,24,10.0,24,14.4,24,22.9,28.0,79.0,,54.0,,0.01,G,999.9,0,1,0,0,1,0
724500,03928,2015,04,26,55.8,24,48.5,24,1008.8,22,961.5,24,10.0,24,14.9,24,20.0,26.0,75.9,,50.0,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2015,04,27,55.3,24,38.5,24,1015.2,24,967.3,24,10.0,24,14.8,24,24.1,31.1,64.9,,50.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,28,58.0,24,37.6,24,1019.8,24,971.9,24,10.0,24,7.9,24,15.0,18.1,71.1,,46.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,29,60.8,24,40.9,24,1017.0,24,969.3,24,10.0,24,7.0,24,12.0,19.0,75.9,,46.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,04,30,63.8,24,41.1,24,1014.4,24,966.9,24,10.0,24,3.6,24,11.1,999.9,80.1,,43.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,05,01,66.0,24,40.5,24,1016.9,24,969.5,24,10.0,24,7.7,24,13.0,20.0,80.1,,43.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,05,02,67.7,24,49.2,24,1015.0,24,967.7,24,10.0,24,10.5,24,22.0,28.9,82.9,,51.1,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2015,05,03,71.5,24,54.7,24,1009.6,24,962.8,24,10.0,24,14.8,24,22.0,28.9,84.0,,57.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,05,04,71.2,24,56.5,24,1013.1,24,966.2,24,10.0,24,12.3,24,22.9,28.0,84.9,,57.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,05,05,70.4,24,54.6,24,1015.1,24,968.0,24,10.0,24,12.5,24,22.9,28.0,84.9,,57.0,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2015,05,06,64.9,24,61.1,24,1009.9,18,962.8,24,8.4,24,16.5,24,27.0,35.9,78.1,,60.1,,1.28,G,999.9,0,1,0,0,1,0
724500,03928,2015,05,07,69.9,24,61.5,24,1008.7,19,961.5,24,10.0,24,15.7,24,29.9,38.1,77.0,,60.1,,0.44,G,999.9,0,1,0,0,1,0
724500,03928,2015,05,08,67.5,24,60.7,24,1012.1,19,965.2,24,9.8,24,6.4,24,12.0,999.9,77.0,,62.1,,0.01,G,999.9,0,1,0,0,1,0
724500,03928,2015,05,09,65.9,24,60.0,24,1011.6,20,964.4,24,9.3,24,9.8,24,31.1,35.9,75.0,,61.0,,0.54,G,999.9,1,1,0,0,1,0
724500,03928,2015,05,10,66.4,24,59.7,24,1008.6,20,961.5,24,9.1,24,10.3,24,19.0,22.0,73.9,,60.1,,0.64,G,999.9,0,1,0,0,0,0
724500,03928,2015,05,11,55.0,24,36.6,24,1017.4,24,969.6,24,10.0,24,13.5,24,18.1,24.1,73.9,,44.1,,0.01,G,999.9,0,0,0,0,0,0
724500,03928,2015,05,12,57.1,24,36.9,24,1024.5,24,976.2,24,10.0,24,6.4,24,14.0,999.9,69.1,,39.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,05,13,57.5,24,46.3,24,1021.8,21,973.5,24,8.9,24,9.5,24,15.0,21.0,69.1,,39.9,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2015,05,14,64.5,24,58.8,24,1013.9,21,966.4,24,8.3,24,11.1,24,15.9,20.0,78.1,,50.0,,0.89,G,999.9,0,1,0,0,0,0
724500,03928,2015,05,15,71.1,24,63.5,24,1010.7,22,964.1,24,9.4,24,10.5,24,20.0,26.0,80.1,,57.9,,0.0,G,999.9,0,1,0,0,1,0
724500,03928,2015,05,16,68.0,24,62.4,24,1008.8,18,961.9,24,8.4,24,10.8,24,20.0,24.1,80.1,,59.0,,0.06,G,999.9,1,1,0,0,1,0
724500,03928,2015,05,17,66.0,24,56.3,24,1007.6,22,960.1,24,9.0,24,9.7,24,15.0,19.0,80.1,,57.0,,3.59,G,999.9,0,1,0,0,1,0
724500,03928,2015,05,18,66.5,24,55.1,24,1018.5,24,971.1,24,10.0,24,8.8,24,17.1,22.9,80.1,,57.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,05,19,58.0,24,45.7,24,1022.3,24,974.5,24,9.7,24,13.5,24,20.0,27.0,72.0,,52.0,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2015,05,20,53.1,24,47.5,24,1018.7,23,970.4,24,9.7,24,13.5,24,18.1,26.0,60.1,,50.0,,0.72,G,999.9,0,1,0,0,0,0
724500,03928,2015,05,21,54.3,24,43.2,24,1024.6,24,976.3,24,10.0,24,7.6,24,11.1,18.1,66.0,,45.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,05,22,55.5,24,48.7,24,1022.3,21,974.2,24,8.6,24,7.4,24,14.0,999.9,66.0,,45.0,,0.0,G,999.9,0,1,0,0,0,0
724500,03928,2015,05,23,57.4,24,55.0,24,1019.5,17,971.7,24,3.7,24,9.4,24,14.0,999.9,62.1,,51.1,,0.3,G,999.9,0,1,0,0,1,0
